#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1725.0%	345000	-30173.546731612878	294.0613652834204	120	23:52:14
1730.0%	346000	-30151.817107579234	294.8490459908141	120	23:52:12
1735.0%	347000	-29998.232739626575	295.13418411357804	120	23:52:11
1740.0%	348000	-29968.960558202438	307.35930656399137	120	23:52:10
1745.0%	349000	-30045.14429940586	304.47065739215566	120	23:52:08
1750.0%	350000	-29683.84666076064	301.21289100395114	120	23:52:07
1755.0%	351000	-29989.398621825123	297.74865183652395	120	23:52:02
1760.0%	352000	-30017.624832632166	299.75569605735956	120	23:52:01
1765.0%	353000	-30149.52795045165	312.0954087600391	120	23:52:00
1770.0%	354000	-30051.633611248486	312.89933430190314	120	23:51:58
1775.0%	355000	-30080.17525337322	298.5172728535613	120	23:51:57
1780.0%	356000	-29999.742361378507	297.1568029768451	120	23:51:55
1785.0%	357000	-29515.625163487042	292.9488715662924	120	23:51:54
1790.0%	358000	-30093.338454108598	307.4623909431711	120	23:51:52
1795.0%	359000	-30062.05634103986	288.3852043607018	120	23:51:51
1800.0%	360000	-30074.235595406382	298.97668823587486	120	23:51:49
1805.0%	361000	-29615.65419625395	301.1808948877145	120	23:51:48
1810.0%	362000	-29929.62766190266	298.12021954164885	120	23:51:46
1815.0%	363000	-29641.790414326126	301.2587917622224	120	23:51:45
1820.0%	364000	-30024.59266614684	307.3743649742449	120	23:51:43
1825.0%	365000	-30217.36144547467	295.39889564490227	120	23:51:42
1830.0%	366000	-30186.89228954917	298.25851124430255	120	23:51:41
1835.0%	367000	-29997.146451055014	299.7885858773923	120	23:51:39
1840.0%	368000	-29927.545011145703	298.6444620625624	120	23:51:38
1845.0%	369000	-30346.211264554207	293.8485953781684	120	23:51:36
1850.0%	370000	-30049.984153680067	292.97479512606054	120	23:51:35
1855.0%	371000	-29998.0677326594	305.67270003011623	120	23:51:33
1860.0%	372000	-29781.596077963157	308.2487608343433	120	23:51:32
1865.0%	373000	-29924.104327205598	294.94755295667755	120	23:51:30
1870.0%	374000	-29877.35274301187	305.316653236655	120	23:51:29
1875.0%	375000	-29753.49930936398	294.6097591076592	120	23:51:27
1880.0%	376000	-29907.681155431375	301.8607135891588	119	23:51:24
1885.0%	377000	-29886.73246894343	306.11562324615136	119	23:51:23
1890.0%	378000	-30363.223876516917	303.71091320089323	119	23:51:21
1895.0%	379000	-29978.840011133376	296.52498949191147	119	23:51:20
1900.0%	380000	-29856.395572983456	296.4908047944607	119	23:51:19
1905.0%	381000	-29630.6946171796	308.480457423063	119	23:51:17
1910.0%	382000	-29762.838782642968	301.4893340016663	119	23:51:16
1915.0%	383000	-30117.46504531242	302.7836487661837	119	23:51:14
1920.0%	384000	-29893.87557532749	306.24098653423164	119	23:51:13
1925.0%	385000	-29838.595073955134	304.6554124953976	119	23:51:11
1930.0%	386000	-29718.17088653485	290.72464541171865	119	23:51:10
1935.0%	387000	-29535.272489982395	292.84934377636574	119	23:51:08
1940.0%	388000	-29825.777816366288	303.63530115901176	119	23:51:07
1945.0%	389000	-29427.420113698114	306.19244043541033	119	23:51:05
1950.0%	390000	-29743.757533488708	300.1816997037486	119	23:51:04
1955.0%	391000	-29944.48481493449	311.9539086316011	119	23:51:03
1960.0%	392000	-30047.170269801747	309.8275432789648	119	23:51:01
1965.0%	393000	-29917.43804218719	301.7486491335493	119	23:51:00
1970.0%	394000	-30052.80582408642	309.0211683485733	119	23:50:58
1975.0%	395000	-29818.105972166784	306.4547675781377	119	23:50:57
1980.0%	396000	-29865.61041188502	299.763391002724	119	23:50:55
1985.0%	397000	-29935.95657492848	291.02526745233666	119	23:50:54
1990.0%	398000	-30309.913648556132	304.9186910976325	119	23:50:52
1995.0%	399000	-29649.871167428908	298.6578396676527	119	23:50:51
2000.0%	400000	-30035.26379520673	294.42711636767336	119	23:50:50
2005.0%	401000	-29974.0675633871	295.321719583956	119	23:50:45
